8.269061072496697307e-05 6.446876525878906250e-01 6.536651253700256348e-01 5.923611521720886230e-01
1.441417698515579104e-04 6.431958675384521484e-01 6.518620252609252930e-01 5.923611521720886230e-01
2.205234632128849626e-04 6.402997374534606934e-01 6.485384106636047363e-01 5.923611521720886230e-01
3.099549503531306982e-04 6.360449194908142090e-01 6.439402699470520020e-01 5.923611521720886230e-01
4.102341190446168184e-04 6.337490677833557129e-01 6.378058791160583496e-01 5.923611521720886230e-01
5.188917857594788074e-04 6.289772391319274902e-01 6.395218968391418457e-01 5.923611521720886230e-01
6.332523771561682224e-04 6.308198571205139160e-01 6.449440717697143555e-01 6.680555939674377441e-01
7.505000103265047073e-04 6.336637139320373535e-01 6.353532075881958008e-01 6.597222089767456055e-01
8.677476434968411922e-04 6.341164708137512207e-01 6.177197098731994629e-01 6.965278387069702148e-01
9.821082931011915207e-04 6.280874609947204590e-01 6.001111268997192383e-01 7.284722328186035156e-01
1.090765930712223053e-03 6.145040988922119141e-01 5.997881889343261719e-01 7.041667103767395020e-01
1.191045041196048260e-03 6.043968200683593750e-01 5.542157292366027832e-01 7.562500238418579102e-01
1.280476571992039680e-03 5.915966629981994629e-01 5.903160572052001953e-01 7.159722447395324707e-01
1.356858294457197189e-03 5.871737003326416016e-01 5.642647147178649902e-01 7.243055701255798340e-01
1.418309402652084827e-03 5.221267938613891602e-01 5.156835913658142090e-01 7.493055462837219238e-01
1.463316846638917923e-03 4.990014135837554932e-01 5.163921713829040527e-01 7.555555701255798340e-01
1.490772468969225883e-03 4.575581252574920654e-01 4.167095124721527100e-01 8.312500715255737305e-01
1.500000013038516045e-03 4.239965379238128662e-01 4.084928333759307861e-01 8.541666865348815918e-01
1.490772468969225883e-03 3.769114017486572266e-01 3.954650759696960449e-01 8.381944894790649414e-01
1.463316846638917923e-03 3.465668857097625732e-01 3.355134129524230957e-01 8.784722685813903809e-01
1.418309402652084827e-03 2.915492951869964600e-01 2.966939806938171387e-01 8.923611640930175781e-01
1.356858294457197189e-03 2.925869822502136230e-01 2.665153145790100098e-01 9.027778506278991699e-01
1.280476571992039680e-03 2.555619478225708008e-01 2.998978495597839355e-01 8.819445371627807617e-01
1.191045041196048260e-03 2.366981506347656250e-01 2.202789038419723511e-01 9.229167103767395020e-01
1.090765930712223053e-03 2.040162831544876099e-01 2.161975055932998657e-01 9.194445013999938965e-01
9.821082931011915207e-04 1.957944035530090332e-01 2.177400887012481689e-01 9.236111640930175781e-01
8.677476434968411922e-04 1.952843368053436279e-01 1.866217702627182007e-01 9.354166984558105469e-01
7.505000103265047073e-04 1.712125241756439209e-01 1.807003170251846313e-01 9.340278506278991699e-01
6.332523771561682224e-04 1.416367888450622559e-01 1.495155990123748779e-01 9.583333730697631836e-01
5.188917857594788074e-04 1.227074190974235535e-01 1.366964429616928101e-01 9.583333730697631836e-01
4.102341190446168184e-04 1.042308658361434937e-01 1.081005930900573730e-01 9.729167222976684570e-01
3.099549503531306982e-04 8.720095455646514893e-02 1.040764227509498596e-01 9.750000238418579102e-01
2.205234632128849626e-04 7.514397799968719482e-02 9.825365990400314331e-02 9.729167222976684570e-01
1.441417698515579104e-04 6.863231956958770752e-02 9.377101063728332520e-02 9.770833849906921387e-01
8.269061072496697307e-05 6.587560474872589111e-02 9.227796643972396851e-02 9.791667461395263672e-01
3.768314127228222787e-05 6.436075270175933838e-02 9.181059896945953369e-02 9.791667461395263672e-01
1.022758897306630388e-05 6.351863592863082886e-02 9.163440018892288208e-02 9.791667461395263672e-01
9.999999974752427079e-07 6.333310902118682861e-02 9.161358326673507690e-02 9.791667461395263672e-01
1.022758897306630388e-05 6.338830292224884033e-02 9.142384678125381470e-02 9.791667461395263672e-01
3.768314127228222787e-05 6.327886879444122314e-02 9.072145819664001465e-02 9.812500476837158203e-01
8.269061072496697307e-05 6.276226788759231567e-02 8.948540687561035156e-02 9.812500476837158203e-01
1.441417698515579104e-04 6.137081608176231384e-02 8.746014535427093506e-02 9.791667461395263672e-01
2.205234632128849626e-04 6.141070649027824402e-02 8.895386755466461182e-02 9.791667461395263672e-01
3.099549503531306982e-04 6.392168253660202026e-02 9.753723442554473877e-02 9.729167222976684570e-01
4.102341190446168184e-04 1.275075972080230713e-01 1.817153990268707275e-01 9.444445371627807617e-01
5.188917857594788074e-04 1.811396479606628418e-01 2.040518522262573242e-01 9.298611879348754883e-01
6.332523771561682224e-04 1.669502705335617065e-01 1.261497586965560913e-01 9.666666984558105469e-01
7.505000103265047073e-04 1.280383020639419556e-01 1.412790566682815552e-01 9.604167342185974121e-01
8.677476434968411922e-04 1.545202285051345825e-01 1.608753055334091187e-01 9.479166865348815918e-01
9.821082931011915207e-04 1.513528376817703247e-01 1.324596256017684937e-01 9.562500715255737305e-01
1.090765930712223053e-03 1.581513583660125732e-01 1.835296303033828735e-01 9.340278506278991699e-01
1.191045041196048260e-03 1.546479910612106323e-01 1.457256078720092773e-01 9.541667103767395020e-01
1.280476571992039680e-03 1.440354436635971069e-01 1.494647562503814697e-01 9.437500238418579102e-01
1.356858294457197189e-03 1.310015022754669189e-01 1.474043577909469604e-01 9.562500715255737305e-01
1.418309402652084827e-03 1.529242396354675293e-01 1.372725665569305420e-01 9.416667222976684570e-01
1.463316846638917923e-03 1.467245668172836304e-01 1.452576071023941040e-01 9.458333849906921387e-01
1.490772468969225883e-03 1.319174915552139282e-01 2.026670128107070923e-01 9.076389074325561523e-01
1.500000013038516045e-03 1.619607806205749512e-01 1.225020661950111389e-01 9.500000476837158203e-01
1.490772468969225883e-03 1.437202692031860352e-01 2.092339247465133667e-01 9.131945371627807617e-01
1.463316846638917923e-03 1.479848325252532959e-01 1.056476682424545288e-01 9.604167342185974121e-01
1.418309402652084827e-03 1.143389344215393066e-01 1.190191954374313354e-01 9.604167342185974121e-01
1.356858294457197189e-03 1.479311287403106689e-01 1.468064486980438232e-01 9.486111998558044434e-01
1.280476571992039680e-03 1.341868937015533447e-01 1.214298456907272339e-01 9.666666984558105469e-01
1.191045041196048260e-03 1.207935884594917297e-01 1.003111824393272400e-01 9.729167222976684570e-01
1.090765930712223053e-03 9.927922487258911133e-02 7.178907096385955811e-02 9.750000238418579102e-01
9.821082931011915207e-04 9.013596177101135254e-02 1.099552437663078308e-01 9.687500596046447754e-01
8.677476434968411922e-04 7.605547457933425903e-02 6.530525535345077515e-02 9.812500476837158203e-01
7.505000103265047073e-04 6.925570219755172729e-02 6.017976254224777222e-02 9.812500476837158203e-01
6.332523771561682224e-04 6.062324717640876770e-02 6.864167749881744385e-02 9.729167222976684570e-01
5.188917857594788074e-04 4.473519325256347656e-02 5.432362109422683716e-02 9.854167103767395020e-01
4.102341190446168184e-04 3.545204177498817444e-02 4.137561842799186707e-02 9.854167103767395020e-01
3.099549503531306982e-04 3.035480156540870667e-02 4.986822232604026794e-02 9.875000715255737305e-01
2.205234632128849626e-04 2.740758098661899567e-02 4.784341156482696533e-02 9.895833730697631836e-01
1.441417698515579104e-04 2.512823976576328278e-02 4.789384454488754272e-02 9.895833730697631836e-01
8.269061072496697307e-05 2.346799708902835846e-02 4.843557253479957581e-02 9.895833730697631836e-01
3.768314127228222787e-05 2.298554033041000366e-02 4.836771264672279358e-02 9.895833730697631836e-01
1.022758897306630388e-05 2.285833097994327545e-02 4.836911708116531372e-02 9.895833730697631836e-01
9.999999974752427079e-07 2.278742939233779907e-02 4.837242886424064636e-02 9.895833730697631836e-01
1.022758897306630388e-05 2.279498428106307983e-02 4.838887229561805725e-02 9.895833730697631836e-01
3.768314127228222787e-05 2.279827184975147247e-02 4.864076897501945496e-02 9.895833730697631836e-01
8.269061072496697307e-05 2.268716320395469666e-02 4.858554527163505554e-02 9.895833730697631836e-01
1.441417698515579104e-04 2.241169661283493042e-02 4.888840764760971069e-02 9.895833730697631836e-01
2.205234632128849626e-04 2.237141877412796021e-02 4.887548089027404785e-02 9.895833730697631836e-01
3.099549503531306982e-04 2.375336550176143646e-02 5.496199429035186768e-02 9.895833730697631836e-01
4.102341190446168184e-04 5.788248404860496521e-02 5.110790580511093140e-02 9.895833730697631836e-01
5.188917857594788074e-04 1.241524964570999146e-01 6.000877916812896729e-02 9.833334088325500488e-01
6.332523771561682224e-04 9.122925251722335815e-02 8.235853910446166992e-02 9.770833849906921387e-01
7.505000103265047073e-04 6.340461969375610352e-02 6.406532227993011475e-02 9.812500476837158203e-01
8.677476434968411922e-04 9.965033829212188721e-02 1.471963077783584595e-01 9.479166865348815918e-01
9.821082931011915207e-04 9.983505308628082275e-02 5.876053497195243835e-02 9.854167103767395020e-01
1.090765930712223053e-03 8.440732955932617188e-02 8.347652852535247803e-02 9.715278744697570801e-01
1.191045041196048260e-03 1.030387580394744873e-01 8.139932155609130859e-02 9.715278744697570801e-01
1.280476571992039680e-03 1.129101142287254333e-01 1.200633198022842407e-01 9.506945013999938965e-01
1.356858294457197189e-03 1.231885179877281189e-01 9.765932708978652954e-02 9.666666984558105469e-01
1.418309402652084827e-03 9.502578526735305786e-02 1.221270784735679626e-01 9.604167342185974121e-01
1.463316846638917923e-03 1.151337549090385437e-01 8.324321359395980835e-02 9.708333611488342285e-01
1.490772468969225883e-03 8.826000243425369263e-02 6.054300814867019653e-02 9.770833849906921387e-01
1.500000013038516045e-03 1.226651445031166077e-01 1.320215761661529541e-01 9.500000476837158203e-01
1.490772468969225883e-03 1.347244530916213989e-01 9.218418598175048828e-02 9.729167222976684570e-01
1.463316846638917923e-03 8.038724213838577271e-02 1.030248329043388367e-01 9.666666984558105469e-01
1.418309402652084827e-03 1.275724172592163086e-01 1.089873909950256348e-01 9.604167342185974121e-01
1.356858294457197189e-03 9.012237936258316040e-02 4.786480590701103210e-02 9.916667342185974121e-01
1.280476571992039680e-03 9.667914360761642456e-02 1.053451001644134521e-01 9.520834088325500488e-01
1.191045041196048260e-03 8.903503417968750000e-02 6.461747735738754272e-02 9.812500476837158203e-01
1.090765930712223053e-03 6.016946583986282349e-02 3.485488891601562500e-02 9.854167103767395020e-01
